Date : 2020-11-23 01:44:13
Directory : c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-
Total : 300 files,  7342 codes, 56 comments, 887 blanks, all 8285 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter2\Practice\8.c           | C        |         20 |          0 |          5 |         25 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter2\fathm_ft.c             | C        |         10 |          1 |          2 |         13 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter2\first.c                | C        |         10 |          0 |          2 |         12 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter2\nogood.c               | C        |         10 |          5 |          3 |         18 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter2\two_func.c             | C        |         13 |          1 |          2 |         16 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter3\Practice\1.c           | C        |         15 |          0 |          3 |         18 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter3\Practice\2.c           | C        |          9 |          0 |          2 |         11 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter3\Practice\3.c           | C        |          9 |          0 |          2 |         11 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter3\Practice\4.c           | C        |         11 |          0 |          3 |         14 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter3\Practice\5.c           | C        |         12 |          0 |          5 |         17 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter3\Practice\6.c           | C        |         12 |          0 |          3 |         15 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter3\Practice\7.c           | C        |         11 |          0 |          2 |         13 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter3\Practice\8.c           | C        |         17 |          0 |          4 |         21 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter3\altnames.c             | C        |         13 |          1 |          3 |         17 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter3\bases.c                | C        |          8 |          1 |          2 |         11 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter3\charcode.c             | C        |          9 |          1 |          2 |         12 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter3\escape.c               | C        |         11 |          5 |          3 |         19 |
| c:\Users\JIN01\Desktop\Solution-for-C-Primer-Plus-the-6th-\Chapter3\platinum.c             | C        |         15 |          4 |          3 |         22 |
