"filename", "language", "C", "C++", "comment", "blank", "total"
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\2.c", "C", 12, 0, 0, 0, 12
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\3.c", "C", 13, 0, 0, 0, 13
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\4.c", "C", 13, 0, 0, 0, 13
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\5.c", "C", 21, 0, 0, 0, 21
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\6.c", "C", 16, 0, 0, 1, 17
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\7.c", "C", 15, 0, 0, 0, 15
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\8.c", "C", 13, 0, 0, 0, 13
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\9.c", "C", 20, 0, 0, 0, 20
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\rows1.c", "C", 15, 0, 0, 1, 16
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\rows2.c", "C", 15, 0, 0, 1, 16
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\scores_in.c", "C", 22, 0, 0, 1, 23
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\summing.c", "C", 18, 0, 0, 2, 20
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\sweetie1.c", "C", 12, 0, 0, 1, 13
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\sweetie2.c", "C", 11, 0, 0, 2, 13
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\t_and_f.c", "C", 9, 0, 0, 2, 11
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\trouble.c", "C", 18, 0, 0, 1, 19
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\truth.c", "C", 17, 0, 0, 3, 20
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\when.c", "C", 13, 0, 0, 1, 14
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\while1.c", "C", 10, 0, 0, 3, 13
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\while2.c", "C", 11, 0, 0, 1, 12
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\zeno.c", "C", 15, 0, 0, 2, 17
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\animals.c", "C", 53, 0, 0, 2, 55
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\break.c", "C", 20, 0, 0, 1, 21
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\chcount.c", "C", 16, 0, 0, 1, 17
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\colddays.c", "C", 28, 0, 0, 1, 29
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\cypher1.c", "C", 21, 0, 0, 1, 22
